atemp,casual,cnt,holiday,hr,hum,temp,weathersit,weekday,windspeed,workingday
0.2879,18.26,16,0,0,0.81,0.24,1,6,0,0
0.2879,18.26,16,0,0,0.81,0.24,1,6,0,0
0.2727,5,32,0,2,0.8,0.22,1,6,0,0
0.2879,175.0,13,0,3,0.75,0.24,1,13.8775,0,0
0.2879,0,332.0,0,4,0.75,0.24,1,incons,0,0
0.2576,0,1,0,5,0.75,0.24,2,13.8775,0.0896,0
0.2727,2,2,0,23.0,0.8,0.22,1,6,16.355,0
0.2576,1,3,18.130475,7,0.86,0.2,1,6,0,0
0.2879,1,8,0,8,incons,0.24,3.5,6,0,0
0.3485,8,14,0,9,0.76,0.32,1,6,0,0
0.3939,12,36,0,incons,0.76,0.38,1,incons,0.2537,0
0.3333,26,56,0,11,0.81,0.36,1,6,0.2836,-10.45
0.4242,29,incons,18.130475,12,0.77,0.42,1,6,0.2836,0
0.4545,47,94,18.130475,13,0.72,0.46,2,6,0.2985,0
0.4545,35,106,0,14,0.72,0.46,2,6,0.2836,0
0.4394,40,110,0,15,0.77,0.44,2,6,0.2985,0
5.2925,41,93,0,23.0,0.82,0.42,4.0,6,-9.925,0
5.2925,175.0,67,0,17,0.82,0.44,2,6,0.2836,0
0.4242,9,35,0,18,0.88,3.4328,3,6,incons,0
0.4242,6,37,0,19,11.9068,0.42,3,6,0.2537,0
0.4091,11,332.0,0,20,0.87,0.4,2,6,0.2537,0
0.4091,3,34,18.130475,21,0.87,0.4,incons,-8.4625,0.194,0
0.4091,11,28,0,22,0.94,0.4,2,6,0.2239,0
0.4545,15,39,0,-6.625,11.9068,0.46,2,6,0.2985,0
0.4545,4,17,0,incons,0.88,0.46,2,0,0.2985,0
incons,1,17,0,1,0.94,0.44,2,0,0.2537,-7.45
0.4242,1,9,0,2,1,0.42,2,0,0.2836,0
0.4545,2,6,0,3,0.94,0.46,2,0,0.194,incons
0.4545,2,3,0,4,0.94,0.46,2,0,0.194,0
5.2925,0,2,0,6,0.77,0.42,incons,0,0.2985,incons
0.4091,0,1,0,7,0.76,0.4,2,0,16.355,0
0.4091,0,8,0,23.0,0.71,0.4,3,0,0.2239,0
0.3939,175.0,20,0,9,0.76,0.38,2,13.8775,0.2239,0
0.3485,7,53,0,10,0.81,0.36,-2.5,0,0.2239,0
incons,16,70,0,11,-4.178,0.36,2,0,0.2537,17.07
0.3333,20,93,0,12,0.66,0.36,2,0,0.2985,0
0.3485,11,75,0,13,0.66,0.36,2,0,0.1343,17.07
0.3485,4,59,0,14,11.9068,0.36,3,0,0.194,0
0.3333,19,74,0,15,0.81,0.34,3,0,0.1642,0
0.3333,9,76,0,16,0.71,0.34,3,0,0.1642,17.07
0.3333,7,65,18.130475,17,0.57,0.34,1,0,0.194,incons
0.3333,10,37.3936875,0,18,0.46,0.36,2,0,0.3284,0
0.2879,-11.1,332.0,0,19,11.9068,0.32,1,0,0.4478,0
0.2727,-11.1,22,0,20,0.39,3.4328,1,0,16.355,0
0.2273,11,31,18.130475,21,0.44,0.26,1,0,0.3284,0
incons,0,9,0,22,0.44,0.24,1,0,0.2985,0
0.2273,0,8,0,23,0.47,0.22,3.5,0,0.1642,0
0.197,0,5,0,0,0.44,0.22,1,1,0.3582,1
0.1667,0,2,0,1,0.44,0.2,4.0,1,0.4179,1
0.1364,0,1,0,23.0,0.47,0.16,1,1,0.3881,1
0.1364,0,3,0,5,0.47,3.4328,1,1,16.355,-10.45
0.1061,0,30,0,20.375,0.5,0.14,1,1,0.3881,1
0.1364,1,64,0,7,0.5,3.4328,1,1,0.194,1
5.2925,1,154,0,8,0.5,0.14,incons,13.8775,16.355,1
0.1364,7,88,0,9,0.43,0.16,1,1,0.3881,1
0.1667,11,44,0,10,0.43,0.18,1,1,0.2537,1
0.1818,incons,51,0,11,0.4,-2.388,-2.5,1,0.3284,1
0.2121,175.0,61,0,12,0.35,0.22,1,incons,0.2985,1
0.2121,8,37.3936875,18.130475,13,0.35,0.24,1,1,0.2836,1
0.2424,11,-22.3228125,0,14,0.3,0.26,1,1,0.2836,1
0.2424,14,72,0,15,11.9068,0.26,1,1,0.2537,incons
0.2424,9,incons,0,16,0.3,0.26,1,1,0.2537,1
0.2273,11,incons,0,17,0.3,0.24,1,1,0.2239,1
5.2925,9,332.0,incons,18,0.32,0.24,1,13.8775,0.1045,1
0.2576,8,110,0,19,11.9068,3.4328,1,1,incons,1
0.2273,3,37.3936875,0,20,0.47,0.2,incons,13.8775,0.1045,1
0.197,175.0,52,0,21,0.64,0.18,1,1,0.1343,1
0.1515,0,20,incons,22,0.69,0.14,1,1,0.1343,17.07
0.2121,1,12,0,23,0.55,0.18,1,incons,-9.925,1
0.1818,0,5,0,0,0.55,0.16,1,2,0.1045,1
0.1818,0,2,0,1,0.59,0.16,-2.5,2,0.1045,1
0.1515,18.26,1,0,23.0,0.63,0.14,1,2,0.1343,1
5.2925,0,2,0,4,0.63,0.14,1,2,0.0896,17.07
0.1515,175.0,4,0,-12.625,0.68,0.12,1,2,0.1045,1
5.2925,0,36,0,6,0.74,0.12,1,2,0.1045,-10.45
0.1515,2,94,18.130475,7,0.74,0.12,1,2,0.1343,1
0.1515,2,179,18.130475,8,0.69,3.4328,1,incons,0.1642,1
0.1515,2,100,0,9,0.64,0.16,1,2,0.2239,1
0.1364,5,incons,0,10,0.69,0.16,2,2,0.3284,1
-3.4875,7,57,0,11,0.51,0.22,1,2,0.2985,1
0.2273,12,78,0,12,0.51,0.22,incons,2,0.1642,1
0.2273,18,97,0,13,0.56,0.24,1,-8.4625,0.194,1
0.2576,9,63,0,-6.625,0.52,0.26,1,2,0.2239,1
0.2727,17,-22.3228125,0,10.375,0.52,0.28,1,2,0.2537,incons
-3.4875,15,-22.3228125,0,16,0.49,0.3,1,2,0.2537,17.07
0.2727,10,212,0,17,0.48,0.28,1,2,0.2239,1
0.2576,175.0,182,0,18,0.48,0.26,1,2,0.194,1
0.2576,2,112,0,19,0.48,0.24,1,2,0.1045,1
0.2576,1,54,0,20,0.48,0.24,1,2,0.1045,1
5.2925,0,48,0,21,0.64,0.22,1,2,0,1
0.2576,1,35,0,22,11.9068,0.22,1,2,0.0896,1
0.2273,2,11,0,23,0.69,0.2,1,2,0.0896,1
0.2576,0,6,incons,0,11.9068,0.2,1,3,0,1
0.197,0,6,0,1,0.74,0.16,1,3,0.0896,1
0.197,175.0,2,0,2,0.74,0.16,1,3,0.0896,1
0.2273,0,2,0,4,0.48,0.24,1,3,0.2239,1
0.2273,0,3,0,5,0.47,0.22,1,3,0.1642,1
0.197,incons,33,0,6,0.47,0.2,1,-8.4625,0.2239,1
0.1818,1,88,0,7,0.43,0.18,1,13.8775,0.194,1
0.1818,-11.1,-22.3228125,0,8,0.4,0.2,1,3,0.2985,1
0.197,6,115,0,-6.625,0.37,0.22,1,3,0.3284,1
0.197,4,57,0,-12.625,0.37,3.4328,1,3,-9.925,1
0.2273,12,46,0,20.375,0.33,0.26,1,3,0.3284,1
0.2273,5,79,0,12,incons,0.26,1,3,0.3284,1
0.2576,6,71,0,13,0.3,0.28,1,3,0.2985,1
0.2879,incons,62,0,14,0.28,0.3,incons,3,0.194,1
0.2879,7,62,0,15,0.28,0.3,3.5,3,-9.925,1
0.3182,4,89,0,16,0.28,0.3,1,3,0.0896,-7.45
0.2273,4,190,0,17,0.38,0.24,1,3,0.194,1
0.2424,3,169,0,18,11.9068,0.24,1,3,0.1343,1
0.2576,-11.1,37.3936875,0,19,0.38,0.24,1,13.8775,0.1045,1
incons,7,89,0,23.0,0.47,0.22,1,3,0.1642,17.07
0.197,3,43,0,21,0.51,0.2,1,3,0.194,1
0.197,1,42,0,22,0.55,0.18,1,3,0.1343,1
0.2576,1,19,0,23,0.47,0.2,1,3,0,1
0.2424,0,11,0,0,0.55,0.18,1,4,0,1
0.2273,0,4,0,incons,0.64,3.4328,1,4,0,1
0.2273,0,2,0,2,0.64,0.16,1,4,0,1
0.197,incons,1,-10.884125,4,0.64,0.16,2,4,0.0896,1
0.1818,0,incons,incons,23.0,0.69,0.14,2,4,0.0896,1
0.1667,0,36,0,6,0.63,0.14,2,13.8775,16.355,1
0.2273,0,95,0,23.0,0.59,0.16,2,4,0,1
0.2273,3,219,0,8,0.59,0.16,1,4,0,1
0.2424,6,122,0,9,0.51,0.18,2,13.8775,0,1
0.2576,3,45,0,10,0.47,0.2,1,13.8775,0,1
incons,2,59,0,11,0.44,0.22,1,13.8775,0.0896,1
0.2879,6,84,0,12,0.35,0.26,1,4,0,1
5.2925,12,67,0,13,0.35,0.26,incons,13.8775,0.1045,1
0.2727,11,70,18.130475,14,0.36,0.28,1,4,0.1642,1
-3.4875,8,62,0,15,0.36,0.28,1,4,0,1
0.2576,12,86,0,16,0.38,0.26,1,4,0.1642,1
5.2925,9,172,0,17,0.51,incons,1,4,0.1642,1
0.2273,5,163,18.130475,18,0.51,0.22,1,4,0.1343,1
0.2576,3,112,0,19,0.55,-2.388,1,4,0.0896,1
0.2121,3,69,0,incons,0.51,0.2,1,4,0.1642,-7.45
0.2121,0,48,0,10.375,0.55,0.22,2,4,0.2239,1
0.2121,1,52,0,22,0.51,0.22,2,4,0.2836,1
5.2925,4,23,0,-6.625,0.59,0.2,2,4,16.355,1
0.197,incons,17,0,0,0.64,0.2,2,5,0.194,1
0.197,-11.1,7,0,23.0,0.69,3.4328,2,5,0.2239,1
5.2925,0,1,0,2,0.69,0.2,2,13.8775,0.2239,1
0.2121,0,1,0,4,0.69,0.2,2,5,0.1343,1
0.2727,0,5,0,5,0.55,0.22,3,5,0,1
0.2576,8,34,incons,6,0.69,0.2,2,5,0,1
0.2121,8,84,0,7,0.69,0.2,4.0,5,0.1343,1
0.197,20,210,0,8,0.51,0.2,1,5,0.2537,1
5.2925,incons,-22.3228125,0,9,11.9068,0.2,1,5,0.2985,1
0.197,16,-22.3228125,0,10,0.37,0.22,4.0,5,0.3284,1
0.197,19,-22.3228125,0,11,0.4,0.2,2,5,0.2239,1
0.197,9,59,18.130475,incons,0.37,0.2,2,5,0.2537,1
